CardID,Overall,Business,Leisure,Low Cost
1,9.9701,10.0,10.0,9.838378378378378
2,8.3279,9.01360759493671,8.012424849699398,8.007567567567568
3,7.5136,7.005379746835443,8.019839679358718,7.0162162162162165
4,6.1315,7.001898734177215,5.999799599198397,5.0
5,9.968399999999999,10.0,10.0,9.82918918918919
6,4.9781,4.97879746835443,4.990781563126252,4.942702702702703
7,9.2561,10.0,9.99939879759519,5.980540540540541
8,7.0748,8.989556962025317,7.0030060120240485,3.997837837837838
9,5.7569,7.011392405063291,6.006212424849699,2.9416216216216218
10,4.1081,6.020886075949367,3.9915831663326653,1.155135135135135
11,8.728299999999999,9.862974683544303,9.00941883767535,6.031891891891893
12,4.1109,6.011075949367089,4.014428857715431,1.1254054054054052
13,7.0363,10.0,7.033466933867735,1.9816216216216218
14,4.212,8.012025316455697,2.9963927855711425,1.0
15,2.7554000000000003,4.980696202531646,1.996993987975952,1.0
16,1.0555,1.1756329113924051,1.0,1.0
17,7.0185,10.0,6.996192384769539,1.9859459459459459
18,1.3163,2.0009493670886074,1.0,1.0
19,9.974,10.0,10.0,9.85945945945946
20,8.385299999999999,10.0,8.989579158316634,3.997297297297297
21,5.3906,7.98006329113924,5.007214428857715,2.001621621621622
22,7.2559,9.010126582278481,6.983166332665331,4.995135135135135
23,9.181899999999999,10.0,9.842885771543086,6.001621621621621
24,1.3155999999999999,1.9987341772151899,1.0,1.0
